epoch:0, time:07/21_20:57:59, loss:368.8754577636719,  time_consuming:1.49s
epoch:0, time:07/21_20:58:01, loss:228.8390350341797,  time_consuming:1.41s
epoch:0, time:07/21_20:58:02, loss:164.0585174560547,  time_consuming:1.54s
epoch:0, time:07/21_20:58:04, loss:144.705078125,  time_consuming:1.50s
epoch:0, time:07/21_20:58:05, loss:151.23602294921875,  time_consuming:1.41s
epoch:0, time:07/21_20:58:07, loss:141.18673706054688,  time_consuming:1.44s
epoch:0, time:07/21_20:58:08, loss:792.1043701171875,  time_consuming:1.51s
epoch:0, time:07/21_20:58:10, loss:366.9157409667969,  time_consuming:1.51s
epoch:0, time:07/21_20:58:11, loss:256.95599365234375,  time_consuming:1.41s
epoch:0, time:07/21_20:58:13, loss:163.16616821289062,  time_consuming:1.62s
epoch:0, time:07/21_20:58:14, loss:354.3540954589844,  time_consuming:1.62s
epoch:0, time:07/21_21:02:12, loss:34.70557403564453,  time_consuming:3.28s
epoch:0, time:07/21_21:02:14, loss:16.060237884521484,  time_consuming:1.40s
epoch:0, time:07/21_21:02:15, loss:7.0058183670043945,  time_consuming:1.46s
epoch:0, time:07/21_21:02:17, loss:2.366600513458252,  time_consuming:1.45s
epoch:0, time:07/21_21:02:18, loss:0.5577720999717712,  time_consuming:1.48s
epoch:0, time:07/21_21:02:20, loss:0.07424327731132507,  time_consuming:1.41s
epoch:0, time:07/21_21:02:21, loss:0.04334346204996109,  time_consuming:1.47s
epoch:0, time:07/21_21:02:22, loss:0.0007695341482758522,  time_consuming:1.42s
epoch:0, time:07/21_21:02:24, loss:0.0008352184668183327,  time_consuming:1.41s
epoch:0, time:07/21_21:02:25, loss:5.544722080230713e-05,  time_consuming:1.40s
epoch:0, time:07/21_21:02:27, loss:0.002577186096459627,  time_consuming:1.48s
epoch:0, time:07/21_21:02:28, loss:0.001366932294331491,  time_consuming:1.41s
epoch:0, time:07/21_21:02:30, loss:0.0010044148657470942,  time_consuming:1.40s
epoch:0, time:07/21_21:02:31, loss:0.0015909308567643166,  time_consuming:1.41s
epoch:0, time:07/21_21:02:32, loss:0.0004895264282822609,  time_consuming:1.47s
epoch:0, time:07/21_21:02:34, loss:0.0006354190409183502,  time_consuming:1.41s
epoch:0, time:07/21_21:02:35, loss:0.001351181766949594,  time_consuming:1.43s
epoch:0, time:07/21_21:02:37, loss:0.013338811695575714,  time_consuming:1.45s
epoch:0, time:07/21_21:02:38, loss:27.58894157409668,  time_consuming:1.46s
epoch:0, time:07/21_21:02:40, loss:1.9993138313293457,  time_consuming:1.40s
epoch:0, time:07/21_21:02:41, loss:1.3241008520126343,  time_consuming:1.41s
epoch:0, time:07/21_21:02:43, loss:0.05871392786502838,  time_consuming:1.54s
epoch:0, time:07/21_21:02:44, loss:0.04954184219241142,  time_consuming:1.52s
epoch:0, time:07/21_21:02:46, loss:0.24547356367111206,  time_consuming:1.59s
epoch:0, time:07/21_21:02:47, loss:6.739143282175064e-05,  time_consuming:1.45s
epoch:0, time:07/21_21:11:55, loss:0.02939433418214321,  time_consuming:3.15s
epoch:0, time:07/21_21:11:57, loss:1.765861988067627,  time_consuming:1.47s
epoch:0, time:07/21_21:11:58, loss:3.0856146812438965,  time_consuming:1.64s
epoch:0, time:07/21_21:12:00, loss:1.4951868057250977,  time_consuming:1.44s
epoch:0, time:07/21_21:12:01, loss:2.709202766418457,  time_consuming:1.43s
epoch:0, time:07/21_21:12:03, loss:5.79187536239624,  time_consuming:1.45s
